orcamento,lingua_original,titulo,popularidade,data_lancamento,faturamento,tempo,estado,rotulo,media_votos,contagem_votos
62000000,en,The American President,11.056763,1995-11-17,107879496,106,Released,Why can't the most powerful man in the world have the one thing he wants most?,6.5,195
62000000,en,The Love Guru,13.218008,2008-06-20,41819064,87,Released,His Karma is Huge,4.3,242
62000000,en,3000 Miles to Graceland,11.262655,2001-02-23,18720175,125,Released,Crime Is King.,5.8,178
44000000,en,The Hateful Eight,68.717016,2015-12-25,155760117,167,Released,No one comes up here without a damn good reason.,7.6,4274
53000000,en,Blades of Glory,19.412028,2007-03-30,0,93,Released,Kick Some Ice.,5.9,569
63000000,en,Hop,16.791058,2011-03-30,183953723,95,Released,"Candy, chicks and rock 'n' roll.",5.5,331
65000000,en,300,65.197968,2006-12-09,422610419,117,Released,"Spartans, prepare for glory!",7.0,4997
80000000,en,Meet the Fockers,32.829538,2004-12-22,516642939,115,Released,Misery loves family.,6.1,1373
60000000,en,Marley & Me,30.951203,2008-12-25,244082376,115,Released,Heel the love.,6.9,1343
60000000,en,The Green Mile,103.698022,1999-12-10,284600000,189,Released,Miracles do happen.,8.2,4048
0,en,Wild Hogs,31.719463,2007-03-02,253625427,100,Released,A lot can happen on the road to nowhere.,5.6,648
150000000,en,Chicken Little,47.973995,2005-11-04,314432665,81,Released,"When it comes to saving the world, it helps to be a little chicken.",5.6,944
61000000,en,Gone Girl,143.041543,2014-10-01,369330363,145,Released,You don't know what you've got 'til it's...,7.9,5862
60000000,en,The Bourne Identity,86.476817,2002-06-14,214034224,119,Released,He was the perfect weapon until he became the target.,7.3,3583
58000000,en,GoldenEye,59.824565,1995-11-16,352194034,130,Released,No limits. No fears. No substitutes.,6.6,1174
60000000,en,The General's Daughter,18.345613,1999-06-18,149705852,116,Released,Go behind the lies.,6.1,205
60000000,en,The Truman Show,56.488027,1998-06-04,264118201,103,Released,On the air. Unaware.,7.8,4537
70000000,en,The Prince of Egypt,29.464852,1998-12-15,218613188,99,Released,The Power Is Real.,6.8,817
60000000,en,Daddy Day Care,18.106021,2003-05-03,164433867,92,Released,Who's your daddy?,5.6,506
61000000,en,2 Guns,42.881415,2013-08-02,131940411,109,Released,"2 Guns, 1 Bank.",6.6,1589
60000000,en,Cats & Dogs,18.735024,2001-07-04,93375151,87,Released,Things Are Gonna Get Hairy!,5.0,352
60000000,en,The Italian Job,62.766854,2003-05-30,176070171,110,Released,Get in. Get out. Get even.,6.6,1919
60000000,en,Two Weeks Notice,24.153567,2002-12-19,93354918,101,Released,Over. Done. Finished. A comedy about love at last glance.,5.9,487
60000000,en,Antz,41.515702,1998-10-02,171757863,83,Released,Every ant has his day.,6.0,1272
70000000,en,Couples Retreat,26.676487,2009-09-19,171844840,113,Released,It may be paradise... but it's no vacation.,5.3,588
60000000,en,Days of Thunder,16.278022,1990-06-27,157920733,107,Released,You can't stop the thunder.,5.9,353
60000000,en,Cheaper by the Dozen 2,18.831023,2005-12-21,129181830,94,Released,Same Big Family... Even Bigger Adventure.,5.7,526
61000000,en,Maze Runner: The Scorch Trials,113.161483,2015-09-09,311256926,132,Released,The Maze Was Just the Beginning.,6.4,3040
60000000,en,Eat Pray Love,28.800112,2010-08-12,204594016,133,Released,Let Yourself GO,5.8,636
60000000,en,The Family Man,19.705489,2000-12-12,0,125,Released,"What if you made different choices? What if you said yes, instead of no? What if you got a second chance?",6.5,521
58000000,en,RED,41.430245,2010-10-13,71664962,111,Released,Still armed. Still dangerous. Still got it.,6.6,2808
55000000,en,Any Given Sunday,23.127561,1999-12-16,100230832,163,Released,Play or be Played.,6.8,422
60000000,en,The Horse Whisperer,12.867352,1998-05-14,186883563,170,Released,,6.7,292
65000000,en,Collateral,44.815022,2004-08-04,217764291,120,Released,It started like any other night.,7.0,1451
60000000,en,The Scorpion King,37.537093,2002-04-16,165333180,92,Released,Warrior. Legend. King.,5.3,779
60000000,en,Ladder 49,10.99991,2004-10-01,74541707,115,Released,Their greatest challenge lies in rescuing one of their own,6.2,207
60000000,en,Jack Reacher,56.868399,2012-12-20,218340595,130,Released,The Law Has Limits. He Does Not.,6.3,2998
60000000,en,Deep Blue Sea,22.991269,1999-07-28,73648228,105,Released,Bigger. Smarter. Faster. Meaner.,5.6,604
60000000,en,Michael Jackson's This Is It,15.798622,2009-10-28,0,111,Released,Like You've Never Seen Him Before,6.7,247
60000000,en,Contagion,38.820858,2011-09-08,137551594,106,Released,Nothing spreads like fear,6.2,1325
0,en,Kangaroo Jack,10.292864,2003-01-17,0,89,Released,He stole the money... And he's not giving it back.,4.3,203
60000000,en,Coraline,51.146047,2009-02-05,124596398,100,Released,Be careful what you wish for.,7.3,1386
60000000,en,The Happening,20.501582,2008-06-11,163403799,91,Released,We've Sensed It. We've Seen The Signs. Now... It's Happening.,4.9,950
70000000,en,Man on Fire,45.299089,2004-04-23,130293714,146,Released,"Creasy's art is death, and he is about to paint his masterpiece.",7.3,1553
50000000,en,The Shaggy Dog,4.280619,2006-03-09,61112916,98,Released,It's going to be a ruff day.,4.5,137
60000000,en,Starsky & Hutch,28.848842,2004-03-05,170268750,101,Released,They're the man.,5.6,644
60000000,en,Jingle All the Way,22.501041,1996-11-15,129832389,89,Released,"Two Dads, One Toy, No Prisoners.",5.5,575
66000000,en,Hellboy,47.479755,2004-04-02,99318987,122,Released,From the Dark Side to Our Side.,6.5,2225
70000000,en,A Civil Action,10.147321,1998-03-05,56702901,115,Released,Justice has its price.,6.1,109
60000000,en,ParaNorman,39.539045,2012-08-03,107139399,90,Released,It's all fun and games until someone raises the dead.,6.7,789
60000000,en,The Jackal,19.747459,1997-11-14,159330280,124,Released,How do you stop an assassin who has no identity?,6.1,527
60000000,en,Paycheck,29.018826,2003-12-25,96269812,119,Released,Remember the future.,5.9,581
60000000,en,Up Close & Personal,4.801849,1996-03-01,0,119,Released,"Every Day we Have, is One More Than We Deserve.",5.9,50
60000000,en,The Tale of Despereaux,16.493576,2008-12-19,50877145,93,Released,Small Mouse. Big Dreams,5.8,258
0,en,The Tuxedo,21.549232,2002-09-27,0,98,Released,Suit up for action!,5.3,483
60000000,en,Under Siege 2: Dark Territory,13.080725,1995-07-13,104324083,100,Released,Last time he rocked the boat. This time the sky's the limit.,5.6,210
60000000,en,Jack Ryan: Shadow Recruit,42.538258,2014-01-15,50549107,105,Released,Trust no one.,5.9,1173
60000000,en,Joy,29.876507,2015-12-24,101134059,124,Released,,6.4,1581
60000000,en,London Has Fallen,61.849521,2016-03-02,205754447,99,Released,The world's leaders have assembled. So have their enemies.,5.8,1621
70000000,en,Alien: Resurrection,37.44963,1997-11-12,162000000,109,Released,It's already too late.,5.9,1365
61000000,en,Shooter,37.378081,2007-03-22,95696996,124,Released,Yesterday was about honor. Today is about justice.,6.9,1462
60000000,en,The Boxtrolls,30.656345,2014-09-10,108255770,97,Released,When troubles strikes friends stack together,6.6,668
75000000,en,Practical Magic,15.142701,1998-10-16,46683377,104,Released,"For two sisters from a family of witches, falling in love is the trickiest spell of all.",6.3,338
60000000,en,The Lego Movie,59.547928,2014-02-06,469160692,100,Released,The story of a nobody who saved everybody.,7.5,3070
0,en,Miss Congeniality 2: Armed and Fabulous,19.998581,2005-03-11,0,115,Released,You might feel a little prick,5.3,425
60000000,en,Reign of Fire,27.615108,2002-07-12,43061982,101,Released,Fight Fire With Fire,6.0,669
60000000,en,Gangster Squad,29.041198,2013-01-10,105200903,113,Released,No Names. No Badges. No Mercy.,6.2,1778
60000000,en,Year One,25.293538,2009-06-18,62357900,97,Released,Meet your ancestors,4.6,524
60000000,en,Invictus,23.85119,2009-12-10,122233971,134,Released,His people needed a leader. He gave them a champion.,7.0,1125
60000000,en,State of Play,21.685719,2009-04-17,87784194,127,Released,Find The Truth,6.7,484
78146652,en,Duplicity,13.630049,2009-03-19,60000000,125,Released,Outwit. Outspy. Outsmart. Outplay. Then get out.,5.7,201
65000000,en,My Favorite Martian,6.80692,1999-02-11,36850101,94,Released,The martian has landed. There goes the neighborhood.,5.1,80
60000000,en,The Sentinel,15.352807,2006-04-19,77920346,108,Released,"In 141 years, there's never been a traitor in the Secret Service.... Until Now.",5.8,225
70000000,en,Planet 51,23.661071,2009-11-19,104945765,91,Released,Something strange is coming to their planet...Us!,5.6,556
60000000,en,Star Trek: Nemesis,21.605533,2002-12-13,67312826,117,Released,A generation's final journey... begins.,6.1,479
60000000,en,Intolerable Cruelty,22.620125,2003-09-02,119940815,100,Released,They can't keep their hands off each others assets.,5.8,391
0,en,Trouble with the Curve,18.587114,2012-09-21,0,111,Released,Whatever Life Throws at You,6.6,366
80000000,en,Edge of Darkness,24.657931,2010-01-29,74901339,117,Released,Some secrets take us to the edge.,6.2,487
60000000,en,The Relic,12.621769,1997-01-10,33956608,110,Released,The Next Evolution In Terror.,5.8,130
60000000,en,Analyze That,21.08952,2002-12-06,55003135,96,Released,Back in therapy,5.7,380
60000000,en,Righteous Kill,18.380176,2008-09-11,73174566,101,Released,Most people respect the badge. Everybody respects the gun.,5.9,375
60000000,en,Mercury Rising,18.877795,1998-04-03,0,111,Released,Someone knows too much.,6.0,368
60000000,en,The Soloist,17.299333,2009-04-24,31720158,109,Released,Life has a mind of its own,6.6,234
80000000,en,The Legend of Bagger Vance,16.848899,2000-11-02,39459427,126,Released,It Was Just A Moment Ago.,6.3,251
60000000,en,Almost Famous,21.547446,2000-09-15,47383689,122,Released,Experience it. Enjoy it. Just don't fall for it.,7.4,797
0,en,Garfield: A Tail of Two Kitties,16.930969,2006-06-15,141702264,78,Released,The Ego has landed.,5.1,464
60000000,en,xXx: State of the Union,36.689223,2005-04-27,71073932,101,Released,Prepare for the next level,4.7,549
60000000,en,Priest,28.350927,2011-05-05,78309131,87,Released,Vampire Killer,5.4,692
60000000,en,Sinbad: Legend of the Seven Seas,18.815442,2003-07-02,26288320,86,Released,,6.6,372
60000000,en,Event Horizon,29.787135,1997-08-15,26673242,96,Released,Infinite Space - Infinite Terror,6.5,742
60000000,en,Dragonfly,8.927137,2002-02-22,52322400,104,Released,When someone you love dies... are they gone forever?,6.1,204
50000000,en,The Black Dahlia,15.213484,2006-09-15,49111202,121,Released,Inspired by the most notorious unsolved murder in California history.,5.7,287
60000000,en,Flyboys,13.155999,2006-09-22,17800000,140,Released,Inspired by a true story,6.3,271
72000000,en,The Last Castle,15.433244,2001-10-19,27642707,131,Released,A Castle Can Only Have One King,7.0,285
90000000,en,Supernova,5.762037,2000-01-14,14828081,91,Released,"In the farthest reaches of space, something has gone terribly wrong.",4.9,109
60000000,en,Winter's Tale,22.736038,2014-02-13,30800231,118,Released,This is not a true story. This is true love.,6.0,487
60000000,en,The Mortal Instruments: City of Bones,45.514031,2013-08-21,90565421,130,Released,You have been chosen,6.2,1602
60000000,en,Meet Dave,18.676291,2008-07-08,50650079,90,Released,There's a Whole Other World Going on Inside of Him.,5.0,371
30000000,en,Dark Water,14.376463,2005-06-27,25473093,105,Released,"This Season, The Mystery Of The Darkness Will Consume Your Life",5.3,274
80000000,en,Edtv,14.298297,1999-03-26,0,122,Released,Fame. Be careful. It's out there.,5.7,166
60000000,en,Inkheart,27.018886,2008-12-11,57490374,106,Released,Every story ever written is just waiting to become real.,6.0,592
60000000,en,The Spirit,14.84856,2008-12-25,39031337,103,Released,I'm gonna kill you all kinds of dead.,4.7,320
60000000,en,Mortdecai,52.417529,2015-01-21,30418560,106,Released,Sophistication Has a Name.,5.4,1055
60000000,en,In the Name of the King: A Dungeon Siege Tale,15.406173,2007-11-29,0,127,Released,Rise and fight,4.1,224
35000000,en,Beyond Borders,6.523472,2003-10-23,0,127,Released,Where hope survives.,6.7,110
68490000,zh,西游记之孙悟空三打白骨精,4.72629,2016-01-22,193677158,120,Released,,6.0,24
80000000,en,The Great Raid,8.923215,2005-08-12,10166502,132,Released,The most daring rescue mission of our time is a story that has never been told,6.8,91
58000000,en,Deadpool,514.569956,2016-02-09,783112979,108,Released,Witness the beginning of a happy ending,7.4,10995
60000000,en,Holy Man,9.265672,1998-10-08,0,114,Released,The Comedy Where Nothing's Sacred!,4.9,111
58800000,en,American Sniper,87.53437,2014-12-11,542307423,133,Released,The most lethal sniper in U.S. history.,7.4,4469
58000000,en,Goosebumps,45.351617,2015-08-05,158162788,103,Released,The stories are alive.,6.2,995
58000000,en,Just Like Heaven,13.43573,2005-09-16,102854431,95,Released,It's a wonderful afterlife.,6.5,579
83000000,en,The Flintstones in Viva Rock Vegas,6.248309,2000-04-28,59468275,90,Released,Get ready to rock!,4.4,134
63000000,en,Rambo III,31.294717,1988-05-24,189015611,102,Released,The first was for himself. The second for his country. This time it's to save his friend.,5.7,690
58000000,en,Leatherheads,7.739276,2008-03-24,41299492,114,Released,"If Love Is a Game, Who'll Make the First Pass?",5.7,130
60000000,en,The Ridiculous 6,19.694695,2015-12-11,0,119,Released,,4.9,388
58000000,en,Did You Hear About the Morgans?,14.403696,2009-12-17,85280250,103,Released,We're not in Manhattan anymore.,5.1,276
58000000,en,The Internship,1.551497,2013-06-07,44000000,119,Released,Hiring them was a brilliant mistake.,6.1,1658
60000000,en,Resident Evil: Afterlife,2.143764,2010-09-09,300228084,97,Released,She's back...And she's bringing a few of her friends.,5.8,1363
58000000,en,Red Tails,12.29603,2012-01-19,50365377,125,Released,High-Octane Action and Daring Dogfights!,5.9,178
57000000,en,The Devil's Advocate,33.8473,1997-10-17,152944660,144,Released,Evil has its winning ways.,7.2,1374
70000000,en,That's My Boy,21.723897,2012-06-14,58058367,116,Released,The story of a child… and his son.,5.5,453
57000000,en,DragonHeart,31.791979,1996-05-31,115267375,103,Released,You will believe.,6.4,535
60000000,en,After the Sunset,14.113066,2004-11-12,61347797,97,Released,Who will walk away?,6.0,226
57000000,en,Ghost Rider: Spirit of Vengeance,48.622278,2011-12-10,149217355,95,Released,He Rides Again.,4.7,1135
57000000,en,Captain Corelli's Mandolin,9.061866,2001-08-17,62112895,131,Released,,5.5,145
56000000,en,The Pacifier,35.4763,2005-03-04,113006880,95,Released,Welcome to the infantry.,5.8,842
56000000,en,Walking Tall,23.438398,2004-04-02,57223890,86,Released,One man will stand up for what's right.,6.0,381
55000000,en,Forrest Gump,138.133331,1994-07-06,677945399,142,Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",8.2,7927
60000000,en,Alvin and the Chipmunks,47.336034,2007-12-13,361366633,92,Released,Get your squeak on!,5.5,1177
55000000,en,Meet the Parents,29.97224,2000-10-06,330444045,108,Released,First comes love. Then comes the interrogation.,6.6,1698
55000000,en,Pocahontas,47.845589,1995-06-14,346079773,81,Released,An American legend comes to life.,6.7,1457
55000000,en,Superman,48.507081,1978-12-13,300218018,143,Released,You'll Believe a Man Can Fly!,6.9,1022
54000000,en,The Nutty Professor,20.28119,1996-06-26,128769345,95,Released,"Inside Sherman Klump, a party animal is about to break out.",5.4,702
70000000,en,Hitch,34.576913,2005-02-10,368100420,118,Released,The cure for the common man.,6.4,1665
55000000,en,George of the Jungle,22.573237,1997-07-15,0,92,Released,Watch out!,5.4,496
55000000,en,American Wedding,36.194802,2003-08-01,231449203,103,Released,Forever hold your piece.,6.0,1129
55000000,en,Captain Phillips,52.786917,2013-10-10,95000000,134,Released,Out here survival is everything.,7.6,2454
55000000,en,Date Night,38.06168,2010-04-08,152263880,97,Released,One ordinary couple. One little white lie.,5.9,1122
50000000,en,Casper,19.830132,1995-05-26,287928194,100,Released,Get an afterlife,6.0,1019
55000000,en,The Equalizer,79.922059,2014-09-24,192330738,132,Released,What do you see when you look at me?,7.1,2954
55000000,en,Maid in Manhattan,19.738215,2002-12-13,154906693,105,Released,,5.6,485
53000000,en,Crimson Tide,20.334629,1995-05-12,157387195,116,Released,Danger runs deep.,7.0,498
55000000,en,The Pursuit of Happyness,80.581367,2006-12-14,307077295,117,Released,,7.7,2525
55000000,en,Flightplan,32.05145,2005-09-22,223387299,98,Released,If Someone Took Everything You Live For... How Far Would You Go To Get It Back?,6.1,772
55000000,en,Disclosure,15.064058,1994-12-09,214015089,123,Released,Sex Is Power.,5.9,210
55000000,en,City of Angels,21.272734,1998-04-10,198685114,114,Released,She didn't believe in angels until she fell in love with one.,6.4,529
30000000,en,Kill Bill: Vol. 1,79.754966,2003-10-10,180949000,111,Released,Go for the kill.,7.7,4949
55000000,en,Bowfinger,13.191829,1999-08-12,0,97,Released,The con is on.,6.0,254
30000000,en,Kill Bill: Vol. 2,50.622607,2004-04-16,152159461,136,Released,The bride is back for the final cut.,7.6,3948
55000000,en,Tango & Cash,22.787667,1989-12-22,63408614,104,Released,Two of L.A.'s top rival cops are going to have to work together... Even if it kills them.,6.1,458
55000000,en,Death Becomes Her,29.498304,1992-07-30,149022650,104,Released,In one small bottle... The fountain of youth. The secret of eternal life. The power of an ancient potion. Sometimes it works... sometimes it doesn't.,6.3,636
55000000,en,Shanghai Noon,25.400935,2000-05-26,56932305,110,Released,The old west meets the far east.,6.2,735
55000000,en,Executive Decision,17.231675,1996-03-15,121969216,133,Released,Fasten your seat belts,5.8,256
55000000,en,Mr. Popper's Penguins,32.835777,2011-06-17,187361754,94,Released,,5.7,751
55000000,en,The Forbidden Kingdom,17.097041,2008-04-18,127906624,104,Released,The battle for eternity is the fantasy of a lifetime.,6.3,461
55000000,en,Free Birds,14.414937,2013-10-30,110000000,91,Released,Hang On To Your Nuggets,5.7,254
50000000,en,Alien³,45.856409,1992-05-22,159773545,114,Released,The bitch is back.,6.2,1633
55000000,en,Evita,7.027139,1996-12-14,141047179,134,Released,The Most Anticipated Motion Picture Event of The Year,5.9,120
55000000,en,Ronin,32.657488,1998-09-25,41610884,122,Released,Your ally could become your enemy.,6.7,658
50000000,en,The Ghost and the Darkness,12.46525,1996-10-11,75000000,109,Released,Prey For The Hunters,6.4,236
55000000,en,Paddington,39.882276,2014-11-27,259207227,95,Released,The Adventure Begins,7.0,883
68000000,en,The Watch,39.395881,2012-07-26,68267862,98,Released,Got Protection?,5.3,881
55000000,en,The Hunted,8.634954,2003-03-11,34234008,94,Released,Some men should not be found.,6.0,189
80000000,en,Instinct,7.386394,1999-06-04,0,126,Released,,6.2,146
55000000,en,Stuck on You,8.802525,2003-12-10,33828318,118,Released,"Whatever happens to the boys, one thing is certain. Nothing will ever come between them.",5.1,188
0,en,Semi-Pro,10.449975,2008-02-28,33472850,91,Released,Putting the funk into the dunk.,5.4,251
60000000,en,The Pirates! In an Adventure with Scientists!,23.700759,2012-03-12,118338361,88,Released,It's A Plunderful Life,6.4,374
55000000,en,Changeling,27.50916,2008-01-30,113020255,141,Released,"To find her son, she did what no one else dared.",7.3,1131
50000000,en,Chain Reaction,20.58862,1996-08-02,60209334,107,Released,Reaction Time 8-4-96,5.3,284
55000000,en,The Fan,4.366488,1996-08-15,18626419,116,Released,All fans have a favorite player.  This one has a favorite target.,5.7,194
70000000,en,The Phantom of the Opera,18.927463,2004-12-08,154648887,143,Released,The classic musical comes to the big screen for the first time.,7.0,438
55000000,en,Elizabeth: The Golden Age,15.274137,2007-09-09,74237563,114,Released,Woman. Warrior. Queen.,6.6,303
62000000,en,Æon Flux,29.954302,2005-11-30,52304001,93,Released,The Perfect World Meets The Perfect Assassin,5.4,703
56000000,en,Gods and Generals,4.362535,2003-02-21,12923936,214,Released,The nations heart was touched by...,6.1,48
55000000,en,Turbulence,4.700024,1997-01-09,11466088,100,Released,"If you weren't afraid of flying before, you will be now.",5.2,62
55000000,en,Imagine That,12.340384,2009-06-19,0,107,Released,What if your daughter's imagination... Was the secret to your success?,5.7,134
50000000,en,Muppets Most Wanted,14.808304,2014-03-20,80383290,112,Released,Taking the world by farce,6.2,316
57000000,en,Thunderbirds,9.27875,2004-07-23,28283637,95,Released,,4.2,91
55000000,en,Burlesque,22.863516,2010-11-23,89519773,119,Released,It takes a legend... to make a star,6.9,573
47000000,fr,Un long dimanche de fiançailles,23.05451,2004-10-26,0,133,Released,Never let go,7.1,346
2000000,en,Lolita,23.962109,1962-06-13,9250000,153,Released,How did they ever make a movie of ...,7.3,395
55000000,en,D-Tox,12.669778,2002-01-04,6416302,96,Released,Survival is a Killer.,5.3,123
54000000,en,Blade II,67.169587,2002-03-22,155010032,117,Released,Faster. Sharper. Deadlier.,6.2,1528
55000000,en,Seven Pounds,41.472404,2008-12-18,168167691,123,Released,Seven names. Seven strangers. One secret.,7.5,2039
55000000,en,Bullet to the Head,22.503935,2013-01-31,9489829,92,Released,Revenge Never Gets Old.,5.2,481
54000000,en,The Godfather: Part III,59.194915,1990-12-24,136766062,162,Released,All the power on earth can't change destiny.,7.1,1546
57000000,en,Elizabethtown,22.894898,2005-10-06,52034889,123,Released,It's a heck of a place to find yourself,6.1,327
54000000,en,"You, Me and Dupree",18.600367,2006-07-14,130431368,108,Released,Two's company. Dupree's a crowd.,5.4,407
54000000,en,Superman II,30.515175,1980-12-04,190458706,127,Released,The Man of Steel meets his match!,6.5,629
54000000,en,Gigli,9.053456,2003-08-01,7266209,121,Released,Life doesn't play by the rules.,3.5,104
55000000,en,All the King's Men,7.768223,2006-09-10,9450897,125,Released,Some people will do anything to gain power. Some will do anything to keep it.,5.7,95
46000000,en,Shaft,19.643365,2000-06-15,107196498,99,Released,"Still the man, any questions?",5.5,308
53000000,en,Anastasia,45.565918,1997-11-20,139804348,94,Released,Discover the Adventure Behind the Greatest Mystery of Our Time.,7.4,1432
52500000,en,Moulin Rouge!,57.374341,2001-03-09,179213434,127,Released,No Laws. No Limits. One Rule. Never Fall In Love.,7.4,1300
75000000,en,Domestic Disturbance,8.41856,2001-10-30,54249294,89,Released,He will do anything to protect his family.,5.4,113
53000000,en,Black Mass,46.049902,2015-09-04,98837872,122,Released,Keep your enemies close.,6.3,1242
90000000,en,Flags of Our Fathers,23.9366,2006-10-18,65900249,132,Released,They fight for their country but they die for their friends.,6.7,526
53000000,en,Law Abiding Citizen,49.593978,2009-10-15,126690726,109,Released,The System Must Pay.,7.2,1486
67000000,en,Grindhouse,16.637642,2007-04-06,25037897,191,Released,A double feature that'll tear you in two!,6.8,459
0,en,Beloved,1.453765,1998-10-16,0,172,Released,The past has a life of its own.,5.9,26
0,en,Lucky You,6.162872,2007-05-01,5761917,124,Released,Change your game. Change your life.,5.4,81
52000000,en,Catch Me If You Can,73.944049,2002-12-25,352114312,141,Released,The true story of a real fake.,7.7,3795
40000000,en,Zero Dark Thirty,38.306954,2012-12-19,132820716,157,Released,The Greatest Manhunt in History,6.7,1702
52000000,en,The Break-Up,26.251217,2006-06-01,204999686,106,Released,. . . pick a side.,5.6,832
52000000,en,Mamma Mia!,30.780599,2008-07-03,609841637,108,Released,Take a trip down the aisle you'll never forget,6.4,1386
52000000,en,Valentine's Day,25.41929,2010-02-10,216485654,125,Released,A Love Story. More or Less.,5.7,1013
50000000,en,The Dukes of Hazzard,15.98212,2005-08-05,110803676,104,Released,Cousins. Outlaws. Thrillbillies.,5.1,316
52000000,en,The Thin Red Line,40.072583,1998-12-25,98126565,170,Released,Every man fights his own war.,7.2,771
52000000,en,The Change-Up,32.015477,2011-08-05,75450437,112,Released,Who says men can't change?,5.9,736
82000000,en,Man on the Moon,24.444186,1999-12-22,47434430,118,Released,"Hello, my name is Andy and this is my movie.",6.9,435
52000000,en,Casino,40.06688,1995-11-22,116112375,178,Released,No one stays at the top forever.,7.8,1307
52000000,en,From Paris with Love,27.916284,2010-02-05,52826594,92,Released,Two agents. One city. No merci.,6.1,675
52000000,en,Bulletproof Monk,15.20707,2003-03-28,0,104,Released,A power beyond measure requires a protector without equal.,5.1,278
51000000,en,"Me, Myself & Irene",39.001682,2000-06-22,149270999,116,Released,From gentle to mental.,6.1,927
51000000,en,Barnyard,10.430832,2006-08-04,72779000,90,Released,What happens in the barn stays in the barn,5.3,225
0,en,Deck the Halls,5.952527,2006-11-22,47231070,93,Released,There glows the neighborhood,5.1,109
50000000,en,The Twilight Saga: New Moon,94.815867,2009-03-15,709827462,130,Released,The Next Chapter Begins.,5.6,2436
60000000,en,Shrek,67.298732,2001-05-16,484409218,90,Released,The greatest fairy tale never told.,7.3,4056
50200000,en,The Adjustment Bureau,26.60772,2011-03-03,127869379,106,Released,Fight for your fate.,6.5,1652
48000000,en,Robin Hood: Prince of Thieves,28.803729,1991-06-14,390493908,143,Released,"For the good of all men, and the love of one woman, he fought to uphold justice by breaking the law.",6.6,909
50000000,en,Jerry Maguire,27.039636,1996-12-06,273552592,139,Released,Everybody loved him... Everybody disappeared.,6.7,913
50000000,en,Ted,68.87691,2012-06-29,549368315,106,Released,Ted is coming.,6.3,4697
50000000,en,As Good as It Gets,37.885022,1997-12-19,314178011,139,Released,A comedy from the heart that goes for the throat.,7.2,915
50000000,en,Patch Adams,35.537397,1998-12-25,202292902,115,Released,Laughter is contagious,7.0,832
50000000,en,Anchorman 2: The Legend Continues,38.125008,2013-12-18,173649015,119,Released,It's kind of a big deal,6.0,923
50000000,en,Mr. Deeds,18.121404,2002-06-28,171269535,96,Released,"Small town kid, big time right hook.",5.6,644
50000000,en,Super 8,37.069253,2011-06-08,260095987,112,Released,It Arrives.,6.6,2435
52000000,en,Erin Brockovich,30.347332,2000-03-17,256271286,131,Released,She brought a small town to its feet and a huge corporation to its knees.,7.1,716
50000000,en,How to Lose a Guy in 10 Days,23.854701,2003-02-07,177371441,116,Released,One of them is lying. So is the other.,6.3,850
50000000,en,22 Jump Street,52.380982,2014-06-05,188441614,112,Released,They're not 21 anymore,7.0,3319
60000000,en,Interview with the Vampire,50.163785,1994-11-11,223664608,123,Released,Drink from me and live forever,7.2,1516
70000000,en,Yes Man,43.849351,2008-12-09,225990978,104,Released,One Word Can Change Everything.,6.4,1813
50000000,en,Central Intelligence,45.318703,2016-06-15,216972543,107,Released,Saving the world takes a little Hart and a big Johnson,6.2,1650
0,en,Stepmom,16.368283,1998-12-25,0,124,Released,Be there for the joy. Be there for the tears. Be there for each other.,6.9,277
50000000,en,Daddy's Home,38.616744,2015-12-25,242786137,96,Released,Choose your Daddy,5.8,854
50000000,en,Into the Woods,65.90161,2014-12-25,212902372,125,Released,Be careful what you wish for...,5.6,1652
45000000,en,Inside Man,45.220386,2006-03-23,184376254,129,Released,It looked like the perfect bank robbery. But you can't judge a crime by its cover.,7.3,1630
90000000,en,Payback,17.457947,1999-02-05,161626121,100,Released,No More Mr. Nice Guy.,6.7,548
50000000,en,Congo,10.755847,1995-06-09,152022101,109,Released,Where you are the endangered species.,5.0,213
50000000,en,We Bought a Zoo,38.629763,2011-12-22,120081841,124,Released,A True Zoo Story,6.5,909
50000000,en,Knowing, in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",2009-03-19,155446362,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Knowing,5.9
50000000,en,Failure to Launch,18.806031,2006-03-10,88715192,97,Released,"To leave the nest, some men just need a little push.",5.5,399
50000000,en,The Ring Two,32.233713,2005-03-17,161451538,110,Released,The dead don't sleep.,5.4,632
50000000,en,"Crazy, Stupid, Love.",37.990705,2011-07-29,142851197,118,Released,This Is Stupid,7.0,2443
50000000,en,Garfield,17.667826,2004-06-10,200804534,80,Released,Get ready for frisky business.,5.2,820
60000000,en,Christmas with the Kranks,9.225166,2004-11-24,0,99,Released,No! Ho! Ho!,5.2,193
50000000,en,Moneyball,46.180421,2011-09-22,110206216,133,Released,What are you really worth?,7.0,1381
50000000,en,Outbreak,30.397496,1995-03-10,189859560,127,Released,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,6.3,513
50000000,en,Non-Stop,83.295796,2014-01-26,222809600,106,Released,The hijacking was just the beginning.,6.8,2268
